ListeKomponenten,Massenanteile,Flächenanteilmodifiziert,Geometrie,Kopfraumatmosphäre,Masse,Verpackungstyp,CAD,RauheitRa,RauheitRz,Trübung,Glanz,Dicke,Emodul,MaximaleZugspannung,MaximaleLängenänderung,Ausformung,Kaltverfo,Temp,Zeit,Druck
['K000055'],,0,Quader,,,Folie,,0.729,3.33,450.7,46.9,777.0,923.5297844703941,39.27389962516748,24.74862718628088,1.0,3.0,300,8,1.0
['K000055'],,0,Quader,,,Folie,,0.729,3.33,450.7,46.9,777.0,923.5297844703941,39.27389962516748,24.74862718628088,2.0,2.0,300,12,4.33
['K000055'],,0,Quader,,,Folie,,0.729,3.33,450.7,46.9,777.0,923.5297844703941,39.27389962516748,24.74862718628088,2.0,2.0,300,12,4.33
['K000055'],,0,Quader,,,Folie,,0.729,3.33,450.7,46.9,777.0,923.5297844703941,39.27389962516748,24.74862718628088,2.0,1.0,300,16,6.0
['K000055'],,0,Quader,,,Folie,,0.729,3.33,450.7,46.9,777.0,923.5297844703941,39.27389962516748,24.74862718628088,3.0,1.0,300,36,6.0
['K000055'],,0,Quader,,,Folie,,0.729,3.33,450.7,46.9,777.0,923.5297844703941,39.27389962516748,24.74862718628088,1.0,3.0,300,40,1.0
['K000055'],,0,Quader,,,Folie,,0.729,3.33,450.7,46.9,777.0,923.5297844703941,39.27389962516748,24.74862718628088,2.0,2.0,340,8,6.0
['K000055'],,0,Quader,,,Folie,,0.729,3.33,450.7,46.9,777.0,923.5297844703941,39.27389962516748,24.74862718628088,2.0,2.0,340,12,1.0
['K000055'],,0,Quader,,,Folie,,0.729,3.33,450.7,46.9,777.0,923.5297844703941,39.27389962516748,24.74862718628088,2.0,2.0,340,20,2.67
['K000055'],,0,Quader,,,Folie,,0.729,3.33,450.7,46.9,777.0,923.5297844703941,39.27389962516748,24.74862718628088,3.0,1.0,340,32,4.33
['K000055'],,0,Quader,,,Folie,,0.729,3.33,450.7,46.9,777.0,923.5297844703941,39.27389962516748,24.74862718628088,3.0,1.0,380,16,4.33
['K000055'],,0,Quader,,,Folie,,0.729,3.33,450.7,46.9,777.0,923.5297844703941,39.27389962516748,24.74862718628088,3.0,1.0,380,20,6.0
['K000055'],,0,Quader,,,Folie,,0.729,3.33,450.7,46.9,777.0,923.5297844703941,39.27389962516748,24.74862718628088,3.0,1.0,380,24,2.67
['K000055'],,0,Quader,,,Folie,,0.729,3.33,450.7,46.9,777.0,923.5297844703941,39.27389962516748,24.74862718628088,3.0,1.0,380,28,2.67
['K000055'],,0,Quader,,,Folie,,0.729,3.33,450.7,46.9,777.0,923.5297844703941,39.27389962516748,24.74862718628088,2.0,2.0,420,16,2.67
['K000055'],,0,Quader,,,Folie,,0.729,3.33,450.7,46.9,777.0,923.5297844703941,39.27389962516748,24.74862718628088,3.0,2.0,420,28,4.33
['K000055'],,0,Quader,,,Folie,,0.729,3.33,450.7,46.9,777.0,923.5297844703941,39.27389962516748,24.74862718628088,3.0,2.5,420,32,1.0
['K000055'],,0,Quader,,,Folie,,0.729,3.33,450.7,46.9,777.0,923.5297844703941,39.27389962516748,24.74862718628088,4.0,2.5,460,24,4.33
['K000055'],,0,Quader,,,Folie,,0.729,3.33,450.7,46.9,777.0,923.5297844703941,39.27389962516748,24.74862718628088,3.0,2.5,460,28,1.0
['K000055'],,0,Quader,,,Folie,,0.729,3.33,450.7,46.9,777.0,923.5297844703941,39.27389962516748,24.74862718628088,3.0,2.5,460,32,1.0
['K000055'],,0,Quader,,,Folie,,0.729,3.33,450.7,46.9,777.0,923.5297844703941,39.27389962516748,24.74862718628088,4.0,2.5,460,36,4.33
['K000055'],,0,Quader,,,Folie,,0.729,3.33,450.7,46.9,777.0,923.5297844703941,39.27389962516748,24.74862718628088,4.0,2.5,460,40,1.0
['K000055'],,0,Quader,,,Folie,,0.729,3.33,450.7,46.9,777.0,923.5297844703941,39.27389962516748,24.74862718628088,4.0,2.5,460,44,4.33
['K000055'],,0,Quader,,,Folie,,0.729,3.33,450.7,46.9,777.0,923.5297844703941,39.27389962516748,24.74862718628088,4.0,2.5,460,48,1.0
['K000055'],,0,Quader,,,Folie,,0.729,3.33,450.7,46.9,777.0,923.5297844703941,39.27389962516748,24.74862718628088,4.0,2.5,460,52,4.33
['K000055'],,0,Quader,,,Folie,,0.729,3.33,450.7,46.9,777.0,923.5297844703941,39.27389962516748,24.74862718628088,4.0,2.5,460,56,1.0
"['K000055', 'K000057']","[0.5, 0.5]",0,Quader,,,Folie,,0.08666666666666667,0.924,216.1,36.7,738.6666666666666,807.9225728004443,33.22942107172407,14.57795412214027,1.0,3.0,300,8,1.0
"['K000055', 'K000057']","[0.5, 0.5]",0,Quader,,,Folie,,0.08666666666666667,0.924,216.1,36.7,738.6666666666666,807.9225728004443,33.22942107172407,14.57795412214027,1.5,1.0,300,12,4.33
"['K000055', 'K000057']","[0.5, 0.5]",0,Quader,,,Folie,,0.08666666666666667,0.924,216.1,36.7,738.6666666666666,807.9225728004443,33.22942107172407,14.57795412214027,1.0,1.0,300,16,6.0
"['K000055', 'K000057']","[0.5, 0.5]",0,Quader,,,Folie,,0.08666666666666667,0.924,216.1,36.7,738.6666666666666,807.9225728004443,33.22942107172407,14.57795412214027,3.0,1.0,300,36,6.0
"['K000055', 'K000057']","[0.5, 0.5]",0,Quader,,,Folie,,0.08666666666666667,0.924,216.1,36.7,738.6666666666666,807.9225728004443,33.22942107172407,14.57795412214027,1.0,3.0,300,40,1.0
"['K000055', 'K000057']","[0.5, 0.5]",0,Quader,,,Folie,,0.08666666666666667,0.924,216.1,36.7,738.6666666666666,807.9225728004443,33.22942107172407,14.57795412214027,1.0,3.0,340,8,6.0
"['K000055', 'K000057']","[0.5, 0.5]",0,Quader,,,Folie,,0.08666666666666667,0.924,216.1,36.7,738.6666666666666,807.9225728004443,33.22942107172407,14.57795412214027,1.0,3.0,340,12,1.0
"['K000055', 'K000057']","[0.5, 0.5]",0,Quader,,,Folie,,0.08666666666666667,0.924,216.1,36.7,738.6666666666666,807.9225728004443,33.22942107172407,14.57795412214027,2.0,1.0,340,20,2.67
"['K000055', 'K000057']","[0.5, 0.5]",0,Quader,,,Folie,,0.08666666666666667,0.924,216.1,36.7,738.6666666666666,807.9225728004443,33.22942107172407,14.57795412214027,3.0,1.0,340,32,4.33
"['K000055', 'K000057']","[0.5, 0.5]",0,Quader,,,Folie,,0.08666666666666667,0.924,216.1,36.7,738.6666666666666,807.9225728004443,33.22942107172407,14.57795412214027,2.0,1.0,380,16,4.33
"['K000055', 'K000057']","[0.5, 0.5]",0,Quader,,,Folie,,0.08666666666666667,0.924,216.1,36.7,738.6666666666666,807.9225728004443,33.22942107172407,14.57795412214027,3.0,1.0,380,20,6.0
"['K000055', 'K000057']","[0.5, 0.5]",0,Quader,,,Folie,,0.08666666666666667,0.924,216.1,36.7,738.6666666666666,807.9225728004443,33.22942107172407,14.57795412214027,3.0,1.5,380,24,2.67
"['K000055', 'K000057']","[0.5, 0.5]",0,Quader,,,Folie,,0.08666666666666667,0.924,216.1,36.7,738.6666666666666,807.9225728004443,33.22942107172407,14.57795412214027,3.0,1.5,380,28,2.67
"['K000055', 'K000057']","[0.5, 0.5]",0,Quader,,,Folie,,0.08666666666666667,0.924,216.1,36.7,738.6666666666666,807.9225728004443,33.22942107172407,14.57795412214027,3.0,1.0,420,16,2.67
"['K000055', 'K000057']","[0.5, 0.5]",0,Quader,,,Folie,,0.08666666666666667,0.924,216.1,36.7,738.6666666666666,807.9225728004443,33.22942107172407,14.57795412214027,4.0,3.0,420,28,4.33
"['K000055', 'K000057']","[0.5, 0.5]",0,Quader,,,Folie,,0.08666666666666667,0.924,216.1,36.7,738.6666666666666,807.9225728004443,33.22942107172407,14.57795412214027,3.0,3.0,420,32,1.0
"['K000055', 'K000057']","[0.5, 0.5]",0,Quader,,,Folie,,0.08666666666666667,0.924,216.1,36.7,738.6666666666666,807.9225728004443,33.22942107172407,14.57795412214027,4.0,3.0,460,24,4.33
"['K000055', 'K000057']","[0.5, 0.5]",0,Quader,,,Folie,,0.08666666666666667,0.924,216.1,36.7,738.6666666666666,807.9225728004443,33.22942107172407,14.57795412214027,3.0,3.0,460,28,1.0
"['K000055', 'K000057']","[0.5, 0.5]",0,Quader,,,Folie,,0.08666666666666667,0.924,216.1,36.7,738.6666666666666,807.9225728004443,33.22942107172407,14.57795412214027,5.0,3.0,460,36,2.67
"['K000055', 'K000057']","[0.5, 0.5]",0,Quader,,,Folie,,0.08666666666666667,0.924,216.1,36.7,738.6666666666666,807.9225728004443,33.22942107172407,14.57795412214027,5.0,3.0,460,40,6.0
"['K000055', 'K000057']","[0.5, 0.5]",0,Quader,,,Folie,,0.08666666666666667,0.924,216.1,36.7,738.6666666666666,807.9225728004443,33.22942107172407,14.57795412214027,1.0,3.0,500,8,1.0
"['K000055', 'K000057']","[0.5, 0.5]",0,Quader,,,Folie,,0.08666666666666667,0.924,216.1,36.7,738.6666666666666,807.9225728004443,33.22942107172407,14.57795412214027,3.0,1.0,500,12,6.0
"['K000055', 'K000057']","[0.5, 0.5]",0,Quader,,,Folie,,0.08666666666666667,0.924,216.1,36.7,738.6666666666666,807.9225728004443,33.22942107172407,14.57795412214027,5.0,3.0,500,32,2.67
"['K000055', 'K000057']","[0.5, 0.5]",0,Quader,,,Folie,,0.08666666666666667,0.924,216.1,36.7,738.6666666666666,807.9225728004443,33.22942107172407,14.57795412214027,6.0,3.0,500,36,6.0
"['K000055', 'K000057']","[0.5, 0.5]",0,Quader,,,Folie,,0.08666666666666667,0.924,216.1,36.7,738.6666666666666,807.9225728004443,33.22942107172407,14.57795412214027,6.0,3.0,500,40,1.0
